"title","authors","year_published","type","genre","description","publisher","journal","container_title","isbn","total_citations","2020","2021","2022","2023","2024","2025","2026","source_syllabi"
"Regeneration: Ending the Climate Crisis in One Generation","Paul Hawken","2021","book","","","Penguin","","","","2","0","0","0","0","2","0","0","2024cprize-07; 2024cprize-41"
"Removable Courthouse","Cepezed","2022","article","","","","DETAIL 11.2022: Circular Economy","","","2","0","0","0","0","2","0","0","2024cprize-25; 2024cprize-26"
"Renegades: Bruce Goff and the American School of Architecture","Angela Person; Luca Guido","2020","book","","","OU Press","","","","2","0","1","0","1","0","0","0","2021cprize-04; 2023cprize-06"
"Resilience Thinking: Sustaining Ecosystems and People in a Changing World","Brian Walker; David Salt","2012","book","","","","","","","2","0","0","0","0","0","0","2","2026cprize-60; 2026cprize-10"
"Resilience through Transaction Cost Economic Evaluation: Recognizing the Cost-Effectiveness of Sustainable Development","J. Whittington; S. Young","2013","article","","","","Sapiens","","","2","1","0","0","1","0","0","0","2020cprize-65; 2023cprize-27"
"Responsibility for the End of Nature; or, How I Learned to Stop Worrying and Love Global Warming","A. Thompson","2009","chapter","","","","","Ethics & The Environment","","2","1","1","0","0","0","0","0","2020cprize-35; 2021cprize-48"
"Responsive Landscapes: Strategies for Responsive Technologies in Landscape Architecture","B. Cantrell; J. Holzman","2016","book","","","Routledge","","","","2","0","0","1","0","1","0","0","2024cprize-35; 2022cprize-22"
"Rethinking Environmental Racism: White Privilege and Urban Development in Southern California","Laura Pulido","2000","article","","","","Annals of the Association of American Geographers 90, no. 1","","","2","0","0","0","0","1","0","1","2026cprize-61; 2024cprize-38"
"Revisiting Philosophical Tools for Technological Culture","J. Hickman","2003","article","","","","Techné","","","2","1","1","0","0","0","0","0","2020cprize-35; 2021cprize-48"
"Rising Currents: Projects for New York's Waterfront","E. Bunge; M. Hoang","","website","","","MoMA","","","","2","1","0","0","1","0","0","0","2020cprize-66; 2023cprize-20"
"River, Space, Design: Planning Strategies, Methods and Projects for Urban Rivers","Martin Prominski; et al.","2012","book","","","Birkhauser","","","","2","0","0","0","0","1","0","1","2024cprize-20; 2026cprize-31"
"Roden Crater","James Turrell","1977","other","","","","","","","2","1","1","0","0","0","0","0","2020cprize-33; 2021cprize-13"
"Russia Is Amassing Unprecedented Military Might in the Arctic","","","website","","","CNN","","","","2","0","0","0","0","1","0","1","2024cprize-19; 2026cprize-28"
"Scarcity: Architecture in an Age of Depleting Resources","J. Goodbun; J. Till; Deljana; L. Lossifova","2012","book","","","Wiley","","","","2","1","1","0","0","0","0","0","2020cprize-35; 2021cprize-48"
"Settler Colonialism and the Elimination of the Native","Patrick Wolfe","2006","article","","","","Journal of Genocide Research","","","2","2","0","0","0","0","0","0","2020cprize-14; 2020cprize-43"
"Shifting from 'Sustainability' to Regeneration","Bill Reed","2007","article","","","","Building Research & Information","","","2","0","0","0","1","1","0","0","2023cprize-41; 2024cprize-07"
"Sick Building Syndrome and the Problem of Uncertainty: Environmental Politics, Technoscience, and Women Workers","Michelle Murphy","2006","book","","","Duke University Press","","","","2","1","0","0","1","0","0","0","2020cprize-24; 2023cprize-14"
"Simians, Cyborgs, and Women: The Reinvention of Nature","Donna Jeanne Haraway","1991","book","","","Routledge","","","","2","0","1","0","0","1","0","0","2021cprize-47; 2024cprize-42"
"Sixth Assessment Report (AR6): Impacts, Adaptation and Vulnerability","Intergovernmental Panel on Climate Change (IPCC)","2021","report","","","IPCC","","","","2","0","0","1","0","0","0","1","2022cprize-14; 2026cprize-60"
"Slumdog Cities: Rethinking Subaltern Urbanism","Ananya Roy","2011","article","","","","","","","2","2","0","0","0","0","0","0","2020cprize-25; 2020cprize-58"
"Smart Materials and New Technologies: For the Architecture and Design Professions","Michelle Addington; Danielle Schodek","2005","book","","","Elsevier, Architectural Press","","","","2","1","1","0","0","0","0","0","2020cprize-39; 2021cprize-26"
"Social Distancing vs Social Interactions for Long Term Care Facilities in the Midst of the COVID-19 Pandemic: A Rapid Review and Synthesis of Action Plans","F. Ferdous","2021","article","","","","Journal of Applied Gerontology","","","2","0","1","0","0","0","0","1","2021cprize-22; 2026cprize-25"
"Social Formation and Symbolic Landscape","D. E. Cosgrove","1985","book","","","University of Wisconsin Press","","","","2","0","1","0","0","1","0","0","2021cprize-16; 2024cprize-05"
"Spatial practices and the making of cultural landscapes","F. Steiner","2014","book","","","Routledge","","","","2","0","0","0","0","1","1","0","2024cprize-06; 2025cprize-03"
"Speculative Realism: An Introduction","Graham Harman","2016","book","","","Polity Press","","","","2","1","1","0","0","0","0","0","2020cprize-35; 2021cprize-48"
"Spiral Jetty","Robert Smithson","1970","other","","","","","","","2","0","1","0","1","0","0","0","2021cprize-13; 2023cprize-31"
"Stop Saving the Planet! An Environmentalist Manifesto","Jenny Price","2021","article","","","","","","","2","0","1","1","0","0","0","0","2021cprize-52; 2022cprize-26"
"Storytelling and Urban Design","Mark C. Childs","2008","article","","","","","","","2","0","1","0","0","1","0","0","2021cprize-56; 2024cprize-32"
"Strike for Sunshine: To Defeat Fossil Fuel, We Need a Low-Carbon Labor Movement","Kate Aronoff; et al.","2019","article","","","","","","","2","0","1","1","0","0","0","0","2021cprize-52; 2022cprize-26"
"Summary for Policymakers (in Global Warming of 1.5°C. An IPCC Special Report)","Intergovernmental Panel on Climate Change","2018","report","","","","","","","2","1","1","0","0","0","0","0","2020cprize-33; 2021cprize-30"
"Sun Rhythm, Form","Ralph Knowles","","book","Solar energy","","","","","9780262610407","2","0","0","0","1","1","0","0","2023cprize-33; 2024cprize-30"
"Sustainability's Image Problem","Esther Choi","2019","article","","","","Library Stack","","","2","1","0","0","0","1","0","0","2020cprize-28; 2024cprize-40"
"Sustainability: Ethics or Technology?","Michael Jenson","2010","chapter","","","","","Climate Change: Sustainability/Responsibility, Transaction on Architectural Education","","2","1","1","0","0","0","0","0","2020cprize-35; 2021cprize-48"
"Sustainable Design for the Built Environment, 2nd Edition","R. Fleming; S. Roberts; C. Isaac","2025","book","","","Routledge","","","","2","1","0","0","0","0","0","1","2026cprize-64; 2020cprize-08"
"SustainaSpeak: A Guide to Sustainable Design Terms","Elizabeth Lewis","2018","book","","","Routledge","","","","2","0","0","0","2","0","0","0","2023cprize-24; 2023cprize-25"
"Systems thinking: Unlocking the Sustainable Development Goals","Center for Ecoliteracy","2012","website","","","","","","","2","1","1","0","0","0","0","0","2021cprize-62; 2020cprize-59"
"Tackling Wicked Problems Through Transdisciplinary Imagination and Design","V. Brown; J. Harris; J. Russell","2010","book","","","Earthscan","","","","2","1","1","0","0","0","0","0","2020cprize-35; 2021cprize-48"
"Tapestry Lifemode Group Segmentation","ESRI","","other","","","","","","","2","0","0","0","1","1","0","0","2023cprize-33; 2024cprize-30"
"Techne, Technology and Tragedy","D. Tabachnick","2004","article","","","","Techné","","","2","1","1","0","0","0","0","0","2020cprize-35; 2021cprize-48"
"Technics and Civilization","Lewis Mumford","1934","book","Civilization; History; Industrial arts; Inventions; Power (Mechanics)","'Technics and Civilization' first presented its compelling history of the machine and critical study of its effects on civilization in 1934 -- before television, the personal computer, and the Internet. Drawing upon art, science, philosophy, and the history of culture, Lewis Mumford explained the origin of the machine age and traced its social results, asserting that the development of modern tech","Harcourt, Brace and Company","","","9780156882545","2","0","0","1","0","0","1","0","2022cprize-11; 2025cprize-01"
"Technology and Values: Essential Readings","Craig Hanks","2009","book","","","","","","","2","1","1","0","0","0","0","0","2020cprize-35; 2021cprize-48"
"Tehran: from Sacred to Radical","A. Mehan","2022","book","","","Routledge","","","","2","0","0","0","0","1","1","0","2024cprize-06; 2025cprize-03"
"Tending the Wild: Native American Knowledge and the Management of California's Natural Resources","M. Kat Anderson","2013","book","","","University of California Press","","","","2","1","0","1","0","0","0","0","2022cprize-02; 2020cprize-14"
"Tentacular Thinking: Anthropocene, Capitalocene, Chthulucene","Donna Haraway","2016","chapter","","","Duke University Press","","Staying with the Trouble: Making Kin in the Chthulucene","","2","0","0","0","0","0","0","2","2026cprize-48; 2026cprize-30"
"Tex-Mex Urbanism: Architecture, Cultural Exchange, and the Shaping of the Built Environment","G. Valdivia","2018","book","","","The University of Texas Press","","","","2","0","0","0","0","1","1","0","2024cprize-06; 2025cprize-03"
"Texas Oil: An Economic Geography","S. Kirsch","2014","book","","","The University of Texas Press","","","","2","0","0","0","0","1","1","0","2024cprize-06; 2025cprize-03"
"The 2030 Palette","","","website","","","","","","","2","0","0","0","1","0","1","0","2023cprize-37; 2025cprize-33"
"The 2100 Project: An Atlas for the Green New Deal","Billy Fleming; et al.","2020","report","","","","","","","2","0","2","0","0","0","0","0","2021cprize-52; 2021cprize-56"
"The Aesthetic Revolution and Its Outcomes","Rancière, Jacques","2002","article","","","","New Left Review","","","2","1","0","0","0","1","0","0","2020cprize-28; 2024cprize-40"
"The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power","Shoshana Zuboff","2020","book","","","PublicAffairs","","","","2","0","0","0","0","1","0","1","2024cprize-19; 2026cprize-28"
"The Alphabet and the Algorithm","Mario Carpo","2011","book","Repetition (Aesthetics); Technological innovations; Design and technology; Architectural design; Aesthetics","""Ever wondered what became of architecture in its digital reincarnation? Mario Carpo vaults from Renaissance aspirations to current conditions at the pace of a breathless fable. Where will it lead us?"" -- Kurt W. Forster, Yale School of Architecture.","MIT Press","","","9780262296694","2","0","0","1","0","1","0","0","2024cprize-23; 2022cprize-27"
"The Architecture of Closed Worlds, or, What Is the Power of Shit?","Lydia Kallipoliti","2018","book","","","Lars Muller Publishers/Storefront for Art and Architecture","","","","2","1","0","1","0","0","0","0","2020cprize-44; 2022cprize-22"
"The Architecture of Closed Worlds: Or, What Is the Power of Shit?","Lydia Kallipoliti","2018","book","","","Lars Müller","","","","2","1","0","0","0","1","0","0","2020cprize-05; 2024cprize-01"
"The Architecture of Good Behavior: Psychology and Modern Institutional Design in Postwar America","Nick Axel","2020","book","","","University of Pittsburgh Press","","","","2","2","0","0","0","0","0","0","2020cprize-24; 2020cprize-46"
"The Architecture of the City","A. Rossi; P. Eisenman; J. Henry; Graham Foundation for Advanced Studies in the Fine Arts; Institute for Architecture and Urban Studies","1982","book","","","MIT Press","","","","2","1","0","0","0","0","0","1","2020cprize-06; 2026cprize-14"
"The Art of Architectural Grafting","Jeanne Gang","2024","book","","","Park Books","","","","2","0","0","0","0","0","1","1","2026cprize-33; 2025cprize-29"
"The Art of Earth Architecture: Past, Present, Future","Jean Dethier","2020","book","Architecture, history; Monuments; Building; Architecture; History","","Thames & Hudson","","","9781616898892","2","0","0","0","0","1","1","0","2024cprize-27; 2025cprize-08"
"The Art Of Philosophizing And Other Essays","Bertrand Russell","1974","book","Addresses, essays, lectures; Philosophy; Philosophie","""The essays in this little volume, published here for the first time in book form, were written by Bertrand Rusell during the Second World War. In those years the author was teaching philosophy at American universities and exercising a growing influence on America's student population. The essays assembled here are fundamentally concerned with the ""art of reckoning"" in the fields of mathematics, l","Littlefield, Adams, And Co.","","","","2","1","1","0","0","0","0","0","2020cprize-35; 2021cprize-48"
"The Big Data of Ice, Rocks, Soils, and Sediments","Shannon Mattern","2017","article","","","","Places Journal","","","2","1","0","0","0","0","0","1","2026cprize-48; 2020cprize-21"
"The Care and Keeping of Cultural Institutions","Angela Person","2014","book","","","Rowman & Littlefield","","","","2","0","1","0","1","0","0","0","2021cprize-04; 2023cprize-06"
"The Carrier Bag Theory of Fiction","Le Guin, Ursula K.","1989","article","","","Grove Press","","","","2","0","0","0","0","0","1","1","2026cprize-48; 2025cprize-22"
